,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
0,21938.443621495833,,,,,
1,21938.4769552322,,,,,
2,21938.510288968566,,,,,
3,21938.543622704932,,,,,
4,21938.5769564413,,,,,
5,21938.610290177665,,,,,
6,21938.64362391403,,,,,
7,21938.676957650394,,,,,
8,21938.71029138676,,,,,
9,21938.743625123127,,,,,
10,21938.776958859493,,,,,
11,21938.81029259586,,,,,
12,21938.843626332226,,,,,
13,21938.876960068592,,,,,
14,21938.91029380496,,,,,
15,21938.943627541325,,,,,
16,21938.97696127769,,,,,
17,21939.010295014057,,,,,
18,21939.043628750424,,,,,
19,21939.076962486786,,,,,
20,21939.110296223153,,,,,
21,21939.14362995952,,,,,
22,21939.176963695885,,,,,
23,21939.21029743225,,,,,
24,21939.243631168618,,,,,
25,21939.276964904984,,,,,
26,21939.31029864135,,,,,
27,21939.343632377717,,,,,
28,21939.376966114083,,,,,
29,21939.41029985045,,,,,
30,21939.443633586816,,,,,
31,21939.47696732318,,,,,
32,21939.510301059545,,,,,
33,21939.54363479591,,,,,
34,21939.576968532278,,,,,
35,21939.610302268644,,,,,
36,21939.64363600501,,,,,
37,21939.676969741377,,,,,
38,21939.710303477743,,,,,
39,21939.74363721411,,,,,
40,21939.776970950476,,,,,
41,21939.810304686842,,,,,
42,21939.843638423208,,,,,
43,21939.87697215957,,,,,
44,21939.910305895937,,,,,
45,21939.943639632304,,,,,
46,21939.97697336867,,,,,
47,21940.010307105036,,,,,
48,21940.043640841403,,,,,
49,21940.07697457777,,,,,
50,21940.110308314135,,,,,
51,21940.1436420505,,,,,
52,21940.176975786868,,,,,
53,21940.210309523234,,,,,
54,21940.2436432596,,,,,
55,21940.276976995967,,,,,
56,21940.31031073233,,,,,
57,21940.343644468696,,,,,
58,21940.376978205062,,,,,
59,21940.41031194143,,,,,
60,21940.443645677795,,,,,
61,21940.47697941416,,,,,
62,21940.510313150528,,,,,
63,21940.543646886894,,,,,
64,21940.57698062326,,,,,
65,21940.610314359626,,,,,
66,21940.643648095993,,,,,
67,21940.67698183236,,,,,
68,21940.710315568722,,,,,
69,21940.74364930509,,,,,
70,21940.776983041455,,,,,
71,21940.81031677782,,,,,
72,21940.843650514187,,,,,
73,21940.876984250554,,,,,
74,21940.91031798692,,,,,
75,21940.943651723286,,,,,
76,21940.976985459652,,,,,
77,21941.01031919602,,,,,
78,21941.043652932385,,,,,
79,21941.07698666875,,,,,
80,21941.110320405114,,,,,
81,21941.14365414148,,,,,
82,21941.176987877847,,,,,
83,21941.210321614213,,,,,
84,21941.24365535058,,,,,
85,21941.276989086946,,,,,
86,21941.310322823312,,,,,
87,21941.34365655968,,,,,
88,21941.376990296045,,,,,
89,21941.41032403241,,,,,
90,21941.443657768777,,,,,
91,21941.476991505144,,,,,
92,21941.510325241507,,,,,
93,21941.543658977873,,,,,
94,21941.57699271424,,,,,
95,21941.610326450605,,,,,
96,21941.643660186972,,,,,
97,21941.676993923338,,,,,
98,21941.710327659704,,,,,
99,21941.74366139607,,,,,
100,21941.776995132437,,,,,
101,21941.810328868803,,,,,
102,21941.84366260517,,,,,
103,21941.876996341536,,,,,
104,21941.910330077902,,,,,
105,21941.943663814265,,,,,
106,21941.97699755063,,,,,
107,21942.010331286998,,,,,
108,21942.043665023364,,,,,
109,21942.07699875973,,,,,
110,21942.110332496097,,,,,
111,21942.143666232463,,,,,
112,21942.17699996883,,,,,
113,21942.210333705196,,,,,
114,21942.243667441562,,,,,
115,21942.27700117793,,,,,
116,21942.310334914295,,,,,
117,21942.343668650657,,,,,
118,21942.377002387024,,,,,
