,session,participant,time,device_ts,system_ts,left_x,left_y,left_pupil,right_x,right_y,right_pupil
0,3,2,82756.60860522122,83509900000.0,74321715000.0,,,,,,
1,3,2,82756.62527731045,83509920000.0,74321730000.0,,,,,,
2,3,2,82756.64194939968,83509940000.0,74321750000.0,,,,,,
3,3,2,82756.65862148892,83509950000.0,74321764000.0,,,,,,
4,3,2,82756.67529357816,83509970000.0,74321780000.0,,,,,,
5,3,2,82756.69196566739,83509985000.0,74321800000.0,,,,,,
6,3,2,82756.70863775662,83510000000.0,74321810000.0,,,,,,
7,3,2,82756.72530984585,83510020000.0,74321830000.0,,,,,,
8,3,2,82756.74198193509,83510034000.0,74321850000.0,,,,,,
9,3,2,82756.75865402432,83510050000.0,74321860000.0,,,,,,
10,3,2,82756.77532611355,83510070000.0,74321880000.0,,,,,,
11,3,2,82756.79199820278,83510080000.0,74321895000.0,,,,,,
12,3,2,82756.80867029201,83510100000.0,74321910000.0,,,,,,
13,3,2,82756.82534238126,83510120000.0,74321930000.0,,,,,,
14,3,2,82756.84201447049,83510130000.0,74321945000.0,,,,,,
15,3,2,82756.85868655972,83510150000.0,74321960000.0,,,,,,
16,3,2,82756.87535864895,83510166000.0,74321980000.0,,,,,,
17,3,2,82756.89203073818,83510180000.0,74321990000.0,,,,,,
18,3,2,82756.90870282742,83510200000.0,74322010000.0,,,,,,
19,3,2,82756.92537491665,83510215000.0,74322030000.0,,,,,,
20,3,2,82756.94204700588,83510230000.0,74322040000.0,,,,,,
21,3,2,82756.95871909511,83510250000.0,74322060000.0,,,,,,
22,3,2,82756.97539118434,83510260000.0,74322076000.0,,,,,,
23,3,2,82756.99206327359,83510280000.0,74322090000.0,,,,,,
24,3,2,82757.00873536282,83510300000.0,74322110000.0,,,,,,
25,3,2,82757.02540745205,83510310000.0,74322125000.0,,,,,,
26,3,2,82757.04207954128,83510330000.0,74322140000.0,,,,,,
27,3,2,82757.05875163051,83510346000.0,74322160000.0,,,,,,
28,3,2,82757.07542371974,83510360000.0,74322170000.0,,,,,,
29,3,2,82757.09209580898,83510380000.0,74322200000.0,,,,,,
30,3,2,82757.10876789821,83510400000.0,74322215000.0,,,,,,
31,3,2,82757.12543998745,83510420000.0,74322230000.0,,,,,,
32,3,2,82757.14211207668,83510436000.0,74322250000.0,,,,,,
33,3,2,82757.1587841659,83510450000.0,74322260000.0,,,,,,
34,3,2,82757.17545625515,83510470000.0,74322280000.0,,,,,,
35,3,2,82757.19212834438,83510485000.0,74322300000.0,,,,,,
36,3,2,82757.20880043361,83510500000.0,74322310000.0,,,,,,
37,3,2,82757.22547252284,83510520000.0,74322330000.0,,,,,,
38,3,2,82757.24214461207,83510534000.0,74322350000.0,,,,,,
39,3,2,82757.25881670132,83510550000.0,74322360000.0,,,,,,
40,3,2,82757.27548879055,83510570000.0,74322380000.0,,,,,,
41,3,2,82757.29216087978,83510580000.0,74322395000.0,,,,,,
42,3,2,82757.308832969,83510600000.0,74322410000.0,,,,,,
43,3,2,82757.32550505824,83510620000.0,74322430000.0,,,,,,
44,3,2,82757.34217714748,83510630000.0,74322444000.0,,,,,,
45,3,2,82757.35884923671,83510650000.0,74322460000.0,,,,,,
46,3,2,82757.37552132594,83510665000.0,74322480000.0,,,,,,
47,3,2,82757.39219341517,83510680000.0,74322490000.0,,,,,,
48,3,2,82757.4088655044,83510700000.0,74322510000.0,,,,,,
49,3,2,82757.42553759365,83510714000.0,74322530000.0,,,,,,
50,3,2,82757.44220968288,83510730000.0,74322540000.0,,,,,,
51,3,2,82757.45888177211,83510750000.0,74322560000.0,,,,,,
52,3,2,82757.47555386134,83510760000.0,74322575000.0,,,,,,
53,3,2,82757.49222595057,83510780000.0,74322590000.0,,,,,,
54,3,2,82757.50889803981,83510800000.0,74322610000.0,,,,,,
55,3,2,82757.52557012904,83510810000.0,74322625000.0,,,,,,
56,3,2,82757.54224221827,83510830000.0,74322640000.0,,,,,,
57,3,2,82757.5589143075,83510845000.0,74322660000.0,,,,,,
58,3,2,82757.57558639674,83510860000.0,74322670000.0,,,,,,
59,3,2,82757.59225848598,83510880000.0,74322700000.0,,,,,,
60,3,2,82757.60893057521,83510900000.0,74322715000.0,,,,,,
61,3,2,82757.62560266444,83510920000.0,74322730000.0,,,,,,
62,3,2,82757.64227475367,83510936000.0,74322750000.0,,,,,,
63,3,2,82757.6589468429,83510950000.0,74322760000.0,,,,,,
64,3,2,82757.67561893215,83510970000.0,74322780000.0,,,,,,
65,3,2,82757.69229102138,83510985000.0,74322800000.0,,,,,,
