,session,participant,time,channel_0
0,3,2,82776.87219558391,MouseButtonLeft pressed
1,3,2,82776.92820255281,MouseButtonLeft released
2,3,2,82777.98523017699,MouseButtonLeft pressed
3,3,2,82778.05325388939,MouseButtonLeft released
4,3,2,82778.10827154649,MouseButtonLeft pressed
5,3,2,82778.18435115511,MouseButtonLeft released
6,3,2,82791.72916632204,MouseButtonLeft pressed
7,3,2,82791.82928331774,MouseButtonLeft released
8,3,2,82792.4272323591,MouseButtonMiddle pressed
9,3,2,82792.5352606493,MouseButtonMiddle released
10,3,2,82792.66429479036,MouseButtonMiddle pressed
11,3,2,82792.76435918543,MouseButtonMiddle released
12,3,2,82792.7662232077,MouseWheelDown120 pressed
13,3,2,82794.46344577777,MouseButtonLeft pressed
14,3,2,82794.5414593095,MouseButtonLeft released
15,3,2,82799.8518430319,MouseButtonLeft pressed
16,3,2,82799.93284359928,MouseButtonLeft released
17,3,2,82800.48986655186,MouseButtonLeft pressed
18,3,2,82800.59592631854,MouseButtonLeft released
19,3,2,82802.92899718261,MouseButtonLeft pressed
20,3,2,82803.60706068078,MouseButtonLeft released
21,3,2,82803.75706497229,MouseButtonMiddle pressed
22,3,2,82803.887074625,MouseButtonMiddle released
23,3,2,82806.46531271713,MouseButtonMiddle pressed
24,3,2,82806.60032852965,MouseButtonMiddle released
25,3,2,82815.78300379915,MouseButtonLeft pressed
26,3,2,82816.33497129135,MouseButtonLeft released
27,3,2,82816.40196349144,MouseWheelUp120 pressed
28,3,2,82816.41698767088,MouseButtonMiddle pressed
29,3,2,82816.56100549089,MouseButtonMiddle released
30,3,2,82817.62011513993,MouseButtonMiddle pressed
31,3,2,82817.75213421664,MouseButtonMiddle released
32,3,2,82817.85410123445,MouseButtonMiddle pressed
33,3,2,82817.99210428263,MouseButtonMiddle released
34,3,2,82818.6221322071,MouseButtonMiddle pressed
35,3,2,82818.76817285128,MouseButtonMiddle released
36,3,2,82824.43754406109,MouseButtonMiddle pressed
37,3,2,82824.58367580635,MouseButtonMiddle released
38,3,2,82826.67672270379,MouseButtonMiddle pressed
39,3,2,82826.78775102983,MouseButtonMiddle released
40,3,2,82828.82686728318,MouseButtonMiddle pressed
41,3,2,82828.98590888262,MouseButtonMiddle released
42,3,2,82833.32525030777,MouseButtonLeft pressed
43,3,2,82834.59932522415,MouseButtonLeft released
44,3,2,82834.91731572193,MouseButtonMiddle pressed
45,3,2,82835.03232049545,MouseWheelDown120 pressed
46,3,2,82835.05937111852,MouseButtonMiddle released
47,3,2,82835.15240492963,MouseButtonMiddle pressed
48,3,2,82835.27143765124,MouseButtonMiddle released
49,3,2,82836.39245593967,MouseButtonMiddle pressed
50,3,2,82836.52445541615,MouseButtonMiddle released
51,3,2,82839.92667524915,MouseButtonLeft pressed
52,3,2,82840.45276033225,MouseButtonLeft released
53,3,2,82840.55481035102,MouseButtonMiddle pressed
54,3,2,82840.70490594364,MouseButtonMiddle released
55,3,2,82847.03622705917,MouseButtonLeft pressed
56,3,2,82847.5803016571,MouseButtonLeft released
57,3,2,82848.29139584975,MouseButtonLeft pressed
58,3,2,82848.82141097978,MouseButtonLeft released
59,3,2,82849.98240404562,MouseButtonLeft pressed
60,3,2,82850.08453576539,MouseButtonLeft released
61,3,2,82850.13641538499,MouseButtonLeft pressed
62,3,2,82850.24249855195,MouseButtonLeft released
