,session,participant,time,channel_0
0,3,3,82768.67173555678,PRIOR pressed
1,3,3,82768.85575920054,PRIOR released
2,3,3,82776.58186199496,LWIN pressed
3,3,3,82776.67784992611,LWIN released
4,3,3,82777.00994477757,LWIN pressed
5,3,3,82777.09987591843,LWIN released
6,3,3,82833.56968697031,D pressed
7,3,3,82834.06667478029,A pressed
8,3,3,82834.27069462217,D released
9,3,3,82834.72468759111,A released
10,3,3,82834.7357003553,D pressed
11,3,3,82835.08370584398,W pressed
12,3,3,82835.17968927507,Q pressed
13,3,3,82835.2876930854,Q released
14,3,3,82835.55071280696,D released
15,3,3,82835.79771008962,X pressed
16,3,3,82835.95770977518,X released
17,3,3,82836.172723781,TAB pressed
18,3,3,82836.4977118265,3 pressed
19,3,3,82836.60378330799,3 released
20,3,3,82836.96975846459,TAB released
21,3,3,82837.05773677633,TAB pressed
22,3,3,82837.24974233909,TAB released
23,3,3,82837.36975342844,Q pressed
24,3,3,82837.46472704447,Q released
25,3,3,82837.67274164592,D pressed
26,3,3,82837.80775575894,D released
27,3,3,82837.98373488276,D pressed
28,3,3,82838.07473723957,D released
29,3,3,82838.21874978677,D pressed
30,3,3,82838.69274865398,1 pressed
31,3,3,82838.69574109859,D released
32,3,3,82838.78874388525,1 released
33,3,3,82839.20776373273,D pressed
34,3,3,82839.36777531847,D released
35,3,3,82839.4118675759,Q pressed
36,3,3,82839.4857603776,Q released
37,3,3,82839.60976072642,Q pressed
38,3,3,82839.68977571944,Q released
39,3,3,82839.81778592803,TAB pressed
40,3,3,82840.55877277597,TAB released
41,3,3,82840.66681188681,Q pressed
42,3,3,82840.75477379831,Q released
43,3,3,82840.83378697638,Q pressed
44,3,3,82840.8957821007,D pressed
45,3,3,82840.94980130611,Q released
46,3,3,82841.2098178829,D released
47,3,3,82841.23682408557,Q pressed
48,3,3,82841.29778789452,Q released
49,3,3,82842.13580748919,D pressed
50,3,3,82842.15780281715,Q pressed
51,3,3,82842.1867944494,W released
52,3,3,82842.24979168868,Q released
53,3,3,82842.3578100992,A pressed
54,3,3,82842.36981617822,D released
55,3,3,82842.61779747556,W pressed
56,3,3,82842.64981445293,A released
57,3,3,82842.69781636863,D pressed
58,3,3,82842.77782416152,Q pressed
59,3,3,82842.81283888358,D released
60,3,3,82842.90381614004,Q released
61,3,3,82843.23482177524,Q pressed
62,3,3,82843.27482797173,W released
63,3,3,82843.27880173098,D pressed
64,3,3,82843.31084970881,Q released
65,3,3,82843.42581042285,A pressed
66,3,3,82843.43483645743,D released
67,3,3,82843.7858191905,W pressed
68,3,3,82844.20884879777,A released
69,3,3,82844.33785162117,D pressed
70,3,3,82844.88285694708,D released
71,3,3,82845.1208769959,A pressed
72,3,3,82845.21285166722,A released
73,3,3,82845.35184843963,A pressed
74,3,3,82845.45784822006,A released
75,3,3,82845.53785171288,A pressed
76,3,3,82845.91485033387,W released
77,3,3,82846.44188919189,D pressed
78,3,3,82846.45785852999,A released
79,3,3,82846.48988320747,A pressed
