,AnnotationTimestamp,VideoTime,arousal,session,participant,time
0,1602256591537,0,0,3,3,82768.79243385185
1,1602256611658,19892,1,3,3,82788.68443385186
2,1602256612041,20274,0,3,3,82789.06643385185
3,1602256657023,65289,1,3,3,82834.08143385185
4,1602256657540,65768,2,3,3,82834.56043385185
5,1602256662090,70318,1,3,3,82839.11043385185
6,1602256667740,75964,2,3,3,82844.75643385186
7,1602256670440,78695,3,3,3,82847.48743385186
8,1602256671156,79413,4,3,3,82848.20543385185
9,1602256672540,80795,3,3,3,82849.58743385185
10,1602256674424,82653,2,3,3,82851.44543385186
11,1602256674473,82735,1,3,3,82851.52743385185
12,1602256674523,82780,0,3,3,82851.57243385185
13,1602256674573,82827,-1,3,3,82851.61943385185
14,1602256676690,84935,0,3,3,82853.72743385185
15,1602256676773,85030,1,3,3,82853.82243385185
16,1602256677256,85509,0,3,3,82854.30143385186
17,1602256681023,89288,1,3,3,82858.08043385185
18,1602256681123,89379,2,3,3,82858.17143385185
19,1602256681240,89479,3,3,3,82858.27143385186
20,1602256681523,89765,2,3,3,82858.55743385185
21,1602256688740,96995,1,3,3,82865.78743385184
22,1602256688806,97043,0,3,3,82865.83543385185
23,1602256702873,111109,1,3,3,82879.90143385185
24,1602256713655,121891,0,3,3,82890.68343385185
25,1602256786221,194456,-1,3,3,82963.24843385186
26,1602256786521,194790,-2,3,3,82963.58243385184
27,1602256790471,198712,-3,3,3,82967.50443385185
28,1602256790504,198754,-4,3,3,82967.54643385185
29,1602256795521,203780,-3,3,3,82972.57243385185
30,1602256795570,203828,-1,3,3,82972.62043385184
31,1602256797703,205973,0,3,3,82974.76543385185
32,1602256798571,206831,1,3,3,82975.62343385186
33,1602256798771,207021,2,3,3,82975.81343385184
34,1602256798838,207068,3,3,3,82975.86043385185
35,1602256798887,207115,4,3,3,82975.90743385185
36,1602256799487,207732,3,3,3,82976.52443385185
37,1602256799520,207780,2,3,3,82976.57243385185
38,1602256799570,207827,0,3,3,82976.61943385185
39,1602256799620,207875,-1,3,3,82976.66743385185
40,1602256804187,212415,0,3,3,82981.20743385184
41,1602256807153,215380,1,3,3,82984.17243385185
42,1602256807187,215428,2,3,3,82984.22043385185
43,1602256807304,215571,3,3,3,82984.36343385185
44,1602256819770,228012,2,3,3,82996.80443385185
45,1602256819954,228202,1,3,3,82996.99443385185
46,1602256819987,228250,0,3,3,82997.04243385185
47,1602256820053,228296,-1,3,3,82997.08843385185
48,1602256820087,228343,-2,3,3,82997.13543385184
49,1602256820770,229012,-3,3,3,82997.80443385185
